gene_id	gene_name	class	Huisinga_class
YKL013C	ARC19	TFIID	TFIID-dominated
YGL206C	CHC1	TFIID	TFIID-dominated
YOR232W	MGE1	TFIID	TFIID-dominated
YBL027W	RPL19B	TFIID	TFIID-dominated
YPL243W	SRP68	TFIID	TFIID-dominated
YER055C	HIS1	CR	TFIID-dominated
YKR094C	RPL40B	TFIID	TFIID-dominated
YER072W	VTC1	CR	TFIID-dominated
YMR039C	SUB1	TFIID	TFIID-dominated
YNR016C	ACC1	CR	SAGA/TFIID
YDL070W	BDF2	CR	SAGA-dominated
YOR206W	NOC2	TFIID	TFIID-dominated
YBR127C	VMA2	TFIID	TFIID-dominated
YFR004W	RPN11	TFIID	TFIID-dominated
YGL037C	PNC1	CR	SAGA-dominated
YLR347C	KAP95	TFIID	SAGA-dominated
YJL127C-B	YJL127C-B	TFIID	
YFL045C	SEC53	TFIID	SAGA/TFIID
YPR110C	RPC40	TFIID	TFIID-dominated
YDL160C	DHH1	TFIID	TFIID-dominated
YIL133C	RPL16A	TFIID	TFIID-dominated
YML073C	RPL6A	TFIID	TFIID-dominated
YER122C	GLO3	TFIID	TFIID-dominated
YDR496C	PUF6	TFIID	TFIID-dominated
YNL087W	TCB2	CR	TFIID-dominated
YLR060W	FRS1	TFIID	TFIID-dominated
YKL039W	PTM1	CR	TFIID-dominated
YHR052W	CIC1	TFIID	TFIID-dominated
YCR053W	THR4	TFIID	no call
YMR002W	MIX17	CR	SAGA-dominated
YER070W	RNR1	CR	SAGA-dominated
YPL220W	RPL1A	TFIID	TFIID-dominated
YGL207W	SPT16	TFIID	TFIID-dominated
YER073W	ALD5	CR	SAGA-dominated
YOR335C	ALA1	TFIID	TFIID-dominated
YFL031W	HAC1	CR	TFIID-dominated
YCR009C	RVS161	TFIID	TFIID-dominated
YLL050C	COF1	TFIID	TFIID-dominated
YBL056W	PTC3	TFIID	TFIID-dominated
YNL190W	YNL190W	CR	SAGA-dominated
YNL229C	URE2	TFIID	TFIID-dominated
YPR187W	RPO26	TFIID	TFIID-dominated
YLR448W	RPL6B	TFIID	SAGA/TFIID
YIL051C	MMF1	CR	TFIID-dominated
YJR105W	ADO1	TFIID	TFIID-dominated
YER133W	GLC7	TFIID	TFIID-dominated
YGL103W	RPL28	TFIID	TFIID-dominated
YNL308C	KRI1	TFIID	TFIID-dominated
